,movie_title,sentiment,tomatometer_rating
717,The Crying Game,negative,10
718,CSNY Déjà Vu,negative,7
719,Curse of Chucky,negative,8
720,Curse of the Golden Flower,negative,7
721,Cutter's Way,negative,10
722,D-Tox ,negative,2
723,The D Train,negative,6
724,Daddy Day Camp,negative,1
725,Daddy Day Care,negative,3
726,Daddy's Home,negative,4
727,Daddy's Little Girls,negative,3
728,Dai-Nipponjin ,negative,8
729,Dance with Me,negative,6
730,Dancer in the Dark,negative,7
731,Dances With Wolves,negative,9
732,Dangerous Minds,negative,3
733,Dante's Peak,negative,3
734,Dark Crimes,negative,1
735,The Dark Half,negative,6
736,Dark Horse,negative,8
737,Dark Matter,negative,5
738,Dark Phoenix,negative,3
739,Dark River,negative,9
740,Dark Tide,negative,1
741,Dark Victory,negative,9
742,Dark Waters,negative,10
743,Darkman,negative,9
744,Darkness,negative,1
745,American Experience,negative,8
746,David & Layla,negative,6
747,Daybreakers,negative,7
748,Days of Thunder,negative,4
749,Dead Man Running,negative,2
750,Dylan Dog: Dead of Night,negative,1
751,Dead Man Down,negative,5
752,Dead Man on Campus,negative,2
753,Dead Man's Shoes,negative,6
754,The Dead Pool,negative,6
755,Dead Ringers,negative,9
756,Dead Silence,negative,3
757,Deadpool 2,negative,9
758,Dear Dictator,negative,2
759,Dear John,negative,3
760,Dear Wendy,negative,4
761,Death at a Funeral,negative,7
762,Death Defying Acts,negative,5
763,Death of a President,negative,4
764,Death Race,negative,5
765,Death Sentence,negative,3
766,Death Wish,negative,2
767,Deception,negative,2
768,Deck the Halls,negative,1
769,Dedication,negative,5
770,Deep Red ,negative,10
771,Defiance,negative,6
772,Deliver Us from Evil,negative,10
773,Deliver Us from Evil,negative,3
774,Deliverance,negative,9
775,Delta Farce,negative,1
776,Demolition,negative,6
777,Desierto,negative,7
778,Desperate Measures,negative,2
779,Desperately Seeking Susan,negative,9
780,Despite The Falling Snow,negative,1
781,Detroit,negative,9
782,Detroit Rock City,negative,5
783,Deuce Bigalow: Male Gigolo,negative,3
784,Deuce Bigalow: European Gigolo,negative,1
785,Deuces Wild,negative,1
786,Devil's Due,negative,2
787,The Devil's Rejects,negative,6
788,Diana,negative,1
789,Diary of the Dead,negative,7
790,Diary of a Wimpy Kid,negative,6
791,Diary of a Wimpy Kid: Dog Days,negative,6
792,Diary Of A Wimpy Kid: The Long Haul,negative,2
793,Dirty Dancing: Havana Nights,negative,3
794,The Dirty Dozen,negative,9
795,Dirty Grandpa,negative,2
796,Dirty Harry,negative,9
797,Dirty Love,negative,1
798,Dirty Pretty Things,negative,10
799,A Dirty Shame,negative,6
800,Dirty Wars,negative,9
801,Disaster Movie,negative,1
802,Disturbia,negative,7
803,Divergent,negative,5
804,Divided We Fall,negative,10
805,Django Unchained,negative,9
806,Do Not Resist,negative,10
807,Doghouse,negative,5
808,Dogtooth ,negative,10
809,Dolemite Is My Name,negative,10
810,Dominion: Prequel to the Exorcist,negative,4
811,Domino,negative,2
812,Domino,negative,4
813,Donkey Punch,negative,6
814,Donnybrook,negative,4
815,Don't Be Afraid Of The Dark,negative,7
816,Don't Let Go ,negative,5
817,Don't Look Now,negative,10
818,Doom,negative,2
819,Doomsday,negative,6
820,The Doors,negative,6
821,Double Dragon,negative,2
822,Doug's 1st Movie,negative,3
823,Down a Dark Hall,negative,6
824,Down and Derby,negative,3
825,Down to You,negative,1
826,Dracula 2000,negative,2
827,Dracula - Dead and Loving It,negative,2
828,Dracula Untold,negative,3
829,Dragged Across Concrete,negative,8
830,Dragon Wars,negative,4
831,Dragonheart,negative,6
832,Dream House,negative,1
833,Dreamcatcher,negative,3
834,Drive Me Crazy,negative,3
835,Drowning Mona,negative,3
836,Drugstore Cowboy,negative,10
837,Duane Hopwood,negative,6
838,Dumb and Dumber,negative,7
839,Dungeons & Dragons,negative,2
840,Earth Girls Are Easy,negative,7
841,Earthquake Bird,negative,6
842,Eden,negative,9
843,Eden Lake,negative,8
844,Edge of Darkness,negative,6
845,Edmond,negative,5
846,El Chicano,negative,4
847,Tropa de Elite ,negative,6
848,Elite Squad: The Enemy Within,negative,10
849,Stonehearst Asylum,negative,6
850,Empire Records,negative,3
851,Star Wars: Episode V - The Empire Strikes Back,negative,10
852,Employee of the Month,negative,3
853,Encino Man,negative,2
854,End of Days,negative,2
855,Ender's Game,negative,7
856,The English Patient,negative,9
857,Entanglement,negative,7
858,Entrapment,negative,4
859,Epic Movie,negative,1
860,Equalizer 2,negative,6
861,Equilibrium,negative,5
862,Eraser,negative,4
863,Eros,negative,4
864,John Carpenter's Escape from L.A.,negative,6
865,Escape Plan,negative,6
866,Escape Room,negative,6
867,Essential Killing,negative,8
868,Euphoria,negative,2
869,Europa Report,negative,9
870,Eurotrip,negative,5
871,Evelyn,negative,7
872,Even Money,negative,3
873,Event Horizon,negative,3
874,An Everlasting Piece,negative,5
875,Everly,negative,4
876,Every Day,negative,7
877,Every Secret Thing,negative,4
878,Every Which Way But Loose,negative,4
879,Everybody Knows ,negative,8
880,Everyday,negative,8
881,Everyone's Hero,negative,5
882,Evil Dead 2: Dead by Dawn,negative,10
883,Excess Baggage,negative,4
884,Existenz,negative,8
885,Exit Wounds,negative,4
886,The Exorcist III,negative,6
887,Exorcist II: The Heretic,negative,2
888,Exorcist: The Beginning,negative,2
889,Expelled: No Intelligence Allowed,negative,2
890,Exposed,negative,1
891,Exterminating Angels,negative,5
892,Extinction,negative,2
893,Extinction,negative,4
894,Extreme Ops,negative,1
895,"Extremely Wicked, Shockingly Evil and Vile",negative,6
896,Eye for an Eye,negative,1
897,Eyes Without a Face,negative,10
898,A Face in the Crowd,negative,9
899,Facing the Giants,negative,2
900,The Faculty,negative,6
901,Fading Gigolo,negative,6
902,Failure to Launch,negative,3
903,Fame,negative,9
904,The Family Stone,negative,6
905,Fantastic Four: Rise of the Silver Surfer,negative,4
906,Fascination,negative,1
907,The Ex,negative,2
908,The Fast and the Furious: Tokyo Drift,negative,4
909,Fast Color,negative,9
910,Fat Albert,negative,3
911,Fat City,negative,10
912,Fathers And Daughters,negative,3
913,Fathers' Day,negative,3
914,Fay Grim,negative,5
915,Feardotcom,negative,1
916,Feeling Minnesota,negative,2
917,Female Trouble,negative,9
918,Fifty Shades of Black,negative,1
919,The Fighting Temptations,negative,5
920,A Film Unfinished,negative,10
921,Final Destination,negative,4
922,Final Destination 3,negative,5
923,The Final Destination,negative,3
